story_id,module,role,title,user_story,acceptance_criteria,priority,source
JUR-01,Jurisdictions,Platform Admin,Maintain a catalog of supported jurisdictions,"As a Platform Admin, I want to maintain a catalog of supported jurisdictions such as countries, states, cities, or other operational regions, so that the platform has a governed, reusable set of regions relevant for operations, taxation, and policy applicability.","Given I am on the jurisdictions catalog, when I add a new jurisdiction, then it is stored as a catalog entry available for use across the platform.; Given the catalog exists, when I view it, then I can see all supported jurisdiction entries relevant for operations, taxation, and policy applicability.; Given a jurisdiction entry, when I edit or update it, then the changes are reflected wherever the jurisdiction is referenced.; Given a jurisdiction entry, when I attempt to add a duplicate, then the system prevents duplicate catalog entries.; Given a jurisdiction is referenced by companies, tax/fee settings, or policies, when I attempt to delete or deactivate it, then the system warns of or prevents removal to protect existing references.",High,FR 6.4.1 (catalog of supported jurisdictions)
JUR-02,Jurisdictions,Platform Admin,Support multiple jurisdiction types as catalog entries,"As a Platform Admin, I want to record jurisdictions of different types — countries, states, cities, or other operational regions — as catalog entries, so that the catalog can represent whatever operational region granularity is needed.","Given I am creating a jurisdiction, when I choose its type, then I can select country, state, city, or other operational region.; Given jurisdictions of different types exist, when I browse the catalog, then each entry's type is identifiable.; Given the catalog, when I need a non-standard region, then I can record it as an ""other operational region"" type without forcing it into a country/state/city classification.",Medium,"FR 6.4.1 (countries, states, cities, or other operational regions)"
JUR-03,Jurisdictions,Platform Admin,"Manage jurisdictions as flat catalog entries, not a mandatory hierarchy","As a Platform Admin, I want jurisdictions to be managed as independent catalog entries rather than a mandatory geographic hierarchy, so that I can add regions flexibly without being forced to model parent-child geographic relationships.","Given I create a jurisdiction entry, when I save it, then I am not required to attach it under a parent geographic node.; Given the catalog, when I add a city or region, then it can exist independently without a mandated country/state chain.; Given a jurisdiction entry, when I manage it, then it is treated as a catalog entry rather than a node in a mandatory geographic hierarchy.",Medium,FR 6.4.1 (catalog entries rather than mandatory geographic hierarchy)
JUR-04,Jurisdictions,Platform Admin,Define tax and fee applicability on a jurisdiction,"As a Platform Admin, I want to define tax and fee applicability on a jurisdiction where configured, so that operations tied to that jurisdiction can reflect the correct taxes and fees.","Given a jurisdiction entry, when I configure its tax and fee applicability, then those settings are saved against the jurisdiction.; Given a jurisdiction with tax and fee applicability configured, when it is referenced in operations, then the configured tax and fee applicability is available for use.; Given a jurisdiction without tax and fee configuration, when it is used, then the system treats tax and fee applicability as not configured (optional, only where configured).; Given tax and fee applicability is updated on a jurisdiction, when it is referenced downstream, then the updated applicability is reflected.",High,FR 6.4.2 (tax and fee applicability where configured)
JUR-05,Jurisdictions,Company Admin,Use jurisdictions as policy applicability criteria,"As a Company Admin, I want to use jurisdictions as applicability criteria when defining policies, so that policies apply correctly based on the jurisdiction they are relevant to.","Given I am configuring a policy, when I set applicability criteria, then I can select one or more jurisdictions from the catalog.; Given a policy scoped to a jurisdiction, when the policy is evaluated, then it applies according to the selected jurisdiction criteria.; Given a policy uses jurisdiction criteria, when the jurisdiction is updated in the catalog, then the policy applicability reflects the current catalog entry.; Given an employee or operation falls outside a policy's jurisdiction criteria, when the policy is evaluated, then it does not apply.",High,FR 6.4.2 (usable as policy applicability criteria)
JUR-06,Jurisdictions,Company Admin,Assign one or more jurisdictions to a company,"As a Company Admin, I want my company to operate in one or more jurisdictions, so that the company's operations, taxation, and policies can span every region in which it is active.","Given a company, when I assign jurisdictions to it, then I can add one or more jurisdictions from the catalog.; Given a company operating in multiple jurisdictions, when I view its configuration, then all associated jurisdictions are listed.; Given a company, when I remove a jurisdiction association, then the company no longer operates in that jurisdiction.; Given a company, when I assign jurisdictions, then only supported catalog entries can be selected.",High,FR 6.4.3 (a company may operate in one or more jurisdictions)
JUR-07,Jurisdictions,Company Admin,Reference catalog jurisdictions consistently across modules,"As a Company Admin, I want jurisdiction assignments and policy/tax references to draw from the single supported catalog, so that taxation and policy applicability stay consistent across the platform.","Given the jurisdiction catalog, when I assign a jurisdiction to a company or policy, then I can only select from supported catalog entries.; Given a jurisdiction is updated in the catalog, when it is referenced by a company, tax/fee setting, or policy, then the reference reflects the current catalog entry.; Given multiple modules reference jurisdictions, when they resolve a jurisdiction, then they all draw from the same single supported catalog.",Medium,"FR 6.4.1–6.4.3 (single supported catalog underpinning company, tax, and policy usage)"
JUR-08,Jurisdictions,Portfolio Admin,Oversee jurisdiction usage across the portfolio,"As a Portfolio Admin, I want to view which jurisdictions the companies across my portfolio operate in, so that I can oversee cross-company operational, tax, and policy coverage from the supported catalog.","Given companies across my portfolio, when I review jurisdiction usage, then I can see which supported catalog jurisdictions each company operates in.; Given a company operates in one or more jurisdictions, when I inspect the portfolio, then all associated jurisdictions are visible for oversight.; Given jurisdiction assignments draw from the single catalog, when I review them, then the same governed catalog entries are shown consistently.",Medium,"FR 6.4.1, FR 6.4.3 (portfolio oversight of catalog-driven company jurisdictions)"
JUR-09,Jurisdictions,Group Company Admin,Assign jurisdictions across companies in a group,"As a Group Company Admin, I want to assign and review the jurisdictions in which the companies of my group operate, so that group-wide operations, taxation, and policy applicability are aligned to the supported catalog.","Given the companies within my group, when I assign jurisdictions, then I can add one or more supported catalog jurisdictions per company.; Given companies in my group operate in multiple jurisdictions, when I view group configuration, then all associated jurisdictions are listed per company.; Given a jurisdiction is removed from a company in the group, when I review it, then that company no longer operates in that jurisdiction.; Given assignments draw from the single supported catalog, when I select jurisdictions, then only catalog entries are available.",Medium,"FR 6.4.1, FR 6.4.3 (group-level assignment of company jurisdictions from the catalog)"
JUR-10,Jurisdictions,Employee (User),See jurisdiction-driven policies and taxes applied to me,"As an Employee (User), I want the policies and tax/fee treatment that apply to me to reflect the jurisdiction(s) I operate under, so that my policy applicability and taxation are correct for my region.","Given I operate under a company jurisdiction, when policies with jurisdiction applicability criteria are evaluated, then only the policies relevant to my jurisdiction apply to me.; Given my jurisdiction has tax and fee applicability configured, when relevant operations are processed, then the configured tax and fee applicability is reflected for me.; Given my jurisdiction has no tax and fee configuration, when operations are processed, then tax and fee applicability is treated as not configured.",Medium,"FR 6.4.2 (jurisdiction-driven policy and tax applicability for employees)"
