story_id,module,role,title,user_story,acceptance_criteria,priority,source
ASM-01,Employee Asset Management,Company Admin,Categorize assets,"As a Company Admin, I want to organize every asset into a defined category, so that inventory is structured, searchable, and reportable by type.","Given I am registering or editing an asset, when I set its category, then I must choose exactly one of IT Equipment, Mobile Devices, Network Equipment, Peripherals, Furniture, Security & Access, Software Licenses, or Other Equipment; Given category is a required attribute, when I try to save an asset without a category, then the system blocks the save and prompts me to select one; Given an asset is saved, when I view the inventory list or asset detail, then each asset displays its assigned category; Given I filter or search the inventory, when I select one or more categories, then only assets in the chosen categories are shown; Given I run inventory reports, when I group by category, then asset counts and states roll up per category.",High,FR 6.20.1 (Asset Categories)
ASM-02,Employee Asset Management,Company Admin,Track asset lifecycle states,"As a Company Admin, I want each asset to move through the defined lifecycle states, so that I always know the current status of every asset and only valid transitions occur.","Given an asset exists, when I view it, then its state is exactly one of Available, Allocated, Issued, In Repair, Returned, Retired, or Disposed; Given an asset transaction or status change occurs, when the change is recorded, then the asset's lifecycle state is updated automatically and consistently with the transaction (e.g. Issue -> Issued, Return -> Returned); Given a newly registered asset, when no transaction has occurred, then its default state is Available; Given I review inventory, when I filter by one or more states, then only assets in those lifecycle states are listed; Given any state change, when it is applied, then the prior and new state, actor, and timestamp are retained in the asset history.",High,FR 6.20.2 (Asset Lifecycle States)
ASM-03,Employee Asset Management,Company Admin,Issue an asset to an employee,"As a Company Admin, I want to issue an available asset to a workforce member, so that the item is formally allocated and tracked to that person.","Given an asset in an issuable state (Available or Allocated), when I record an Issue transaction to an employee, then the asset is linked to that employee and its state changes to Issued; Given I attempt to issue an asset that is already Issued, In Repair, Retired, or Disposed, when I submit, then the system prevents the issue and explains why; Given an issue transaction is completed, when I view the asset history, then the issue event is logged with the recipient employee, the acting admin, and the date; Given an asset is issued, when the recipient views their profile, then the issued asset appears in their allocated-assets list; Given an asset is issued, when acknowledgement is required, then a pending acknowledgement is raised for the recipient.",High,FR 6.20.3 (Asset Transactions - Issue)
ASM-04,Employee Asset Management,Company Admin,Return an asset,"As a Company Admin, I want to record the return of an issued asset with a condition check, so that it can be reassessed and returned to inventory.","Given an issued asset, when I record a Return transaction, then the asset is unlinked from the employee and its state is updated to Returned; Given a return is recorded, when I view the asset history, then the return event is logged with date, returning employee, and acting admin; Given the returned asset is reassessed as serviceable, when I complete the assessment, then it can transition back to Available for reissue; Given the returned asset requires repair, when I flag it, then it can transition to In Repair; Given a return is recorded, when a return condition assessment exists, then it is stored against the asset record.",High,FR 6.20.3 (Asset Transactions - Return)
ASM-05,Employee Asset Management,Company Admin,Transfer an asset between employees,"As a Company Admin, I want to transfer an asset from one employee to another, so that reassignment is tracked without a full return and reissue.","Given an allocated or issued asset, when I record a Transfer transaction to a new employee, then the asset's ownership moves to the new employee while remaining in an issued/allocated state; Given a transfer is completed, when I view the asset history, then both the source and destination employees, the acting admin, and the transfer date are recorded; Given a transfer occurs, when it completes, then the source employee's allocated-assets list no longer shows the asset and the destination employee's list now shows it; Given acknowledgement is required, when the transfer completes, then a new pending acknowledgement is raised for the destination employee.",Medium,FR 6.20.3 (Asset Transactions - Transfer)
ASM-06,Employee Asset Management,Company Admin,Recover an asset,"As a Company Admin, I want to record recovery of an outstanding asset, so that unreturned items are reclaimed and accounted for.","Given an asset held by an employee (typically during exit or when overdue), when I record a Recovery transaction, then the asset is marked as recovered, unlinked from the employee, and reflected in its lifecycle state; Given a recovery is recorded, when I view the asset history, then the recovery event is logged with date, employee, and acting admin; Given an asset is recovered, when the exit or overdue follow-up is reviewed, then it is no longer listed as outstanding for that employee; Given a recovered asset is assessed, when it is serviceable, then it can transition to Available.",Medium,FR 6.20.3 (Asset Transactions - Recovery)
ASM-07,Employee Asset Management,Employee (User),Digitally acknowledge asset receipt,"As an Employee (User), I want to digitally acknowledge receipt of an asset with a condition assessment, so that there is a clear record of what I received and its state at handover.","Given an asset is issued or transferred to me, when I open the acknowledgement, then I can record a digital acknowledgement of receipt together with a condition assessment of the asset; Given I submit the acknowledgement, when it is saved, then it is timestamped and linked to me and the specific asset; Given I have acknowledged receipt, when the record is viewed, then the pending acknowledgement clears and the acknowledged condition is visible on the asset record; Given I have not yet acknowledged, when the pending-acknowledgements report is run, then the asset appears as awaiting my acknowledgement.",High,FR 6.20.4 (Asset Acknowledgements - Receipt)
ASM-08,Employee Asset Management,Employee (User),Digitally acknowledge asset return,"As an Employee (User), I want to digitally acknowledge return of an asset with a condition assessment, so that the condition at return is documented and disputes are avoided.","Given I am returning an asset issued to me, when I complete the return acknowledgement, then my digital acknowledgement and a condition assessment of the asset are captured; Given the return acknowledgement is saved, when the asset is reviewed, then the return condition and acknowledgement timestamp are available on the asset record and linked to me; Given a return acknowledgement is outstanding, when the pending-acknowledgements report is run, then the return appears as awaiting acknowledgement; Given the return condition differs from the receipt condition, when the record is reviewed, then both condition assessments are visible for comparison.",Medium,FR 6.20.4 (Asset Acknowledgements - Return)
ASM-09,Employee Asset Management,Company Admin,Integrate asset actions with onboarding and exit workflows,"As a Company Admin, I want asset issuance and recovery to be integrated with onboarding and exit workflows, so that assets are handled automatically at the right point in an employee's lifecycle.","Given an employee is onboarding, when the onboarding workflow runs, then asset issuance tasks are triggered as part of the workflow; Given an employee is exiting, when the exit workflow runs, then asset recovery tasks are triggered as part of the workflow; Given assets remain outstanding, when the exit workflow is reviewed or completed, then unrecovered assets are surfaced and block or flag exit clearance for follow-up; Given an asset issuance or recovery task completes, when the workflow is viewed, then the linked asset transaction and its status are reflected in the workflow step.",High,FR 6.20.5 (Workflow Integration)
ASM-10,Employee Asset Management,Company Admin,"Report on asset assignment, inventory, and outstanding items","As a Company Admin, I want reports on asset assignment, inventory, pending acknowledgements, and overdue returns, so that I can monitor asset usage and follow up on exceptions.","Given assets exist, when I run the asset assignment report, then I see which assets are assigned to which employees with issue dates; Given assets exist, when I run the inventory report, then I see all assets with their categories and lifecycle states; Given acknowledgements are pending, when I run the pending acknowledgements report, then I see all assets awaiting receipt or return acknowledgement with the responsible employee; Given returns are due, when I run the overdue returns report, then I see all assets whose expected return date has passed, with the holder and days overdue; Given any report is generated, when I apply filters (category, state, employee, date range), then results are scoped accordingly and can be exported.",Medium,FR 6.20.6 (Reporting)
ASM-11,Employee Asset Management,Company Admin,Register and maintain assets,"As a Company Admin, I want to register new assets and maintain their details, so that the inventory accurately reflects owned equipment available for allocation.","Given I add a new asset, when I complete required attributes including category, then the asset is created with a default state of Available; Given an asset exists, when I edit its details, then the changes are saved and the edit is recorded in the asset history; Given an asset is registered, when I view inventory, then it becomes available for Issue transactions; Given a required attribute is missing, when I try to save, then the system blocks the save and identifies the missing fields.",High,"FR 6.20.1, FR 6.20.2 (Asset Categories & Lifecycle - registration)"
ASM-12,Employee Asset Management,Company Admin,Send assets for repair and back to service,"As a Company Admin, I want to move an asset into and out of the In Repair state, so that unserviceable equipment is tracked and only serviceable assets are reissued.","Given an issued or returned asset needs servicing, when I set it to In Repair, then its lifecycle state changes to In Repair and it is excluded from issuable inventory; Given an asset is In Repair, when repair completes and it is serviceable, then I can transition it back to Available; Given an asset is In Repair and irreparable, when I decide, then I can transition it to Retired; Given any repair transition, when it is applied, then the event, date, and acting admin are logged in the asset history.",Medium,FR 6.20.2 (Asset Lifecycle States - In Repair)
ASM-13,Employee Asset Management,Company Admin,Retire and dispose of assets,"As a Company Admin, I want to retire and dispose of assets at end of life, so that inventory reflects only usable equipment and disposal is auditable.","Given an asset is no longer in service (e.g. returned, recovered, or In Repair and irreparable), when I set it to Retired, then it is removed from issuable inventory and its state is Retired; Given a Retired asset, when it is physically disposed of, then I can transition it to Disposed; Given an asset is Disposed, when I attempt any allocation transaction, then the system prevents it; Given a retire or dispose action, when it is applied, then the event, reason, date, and acting admin are logged in the asset history and reflected in inventory reports.",Medium,FR 6.20.2 (Asset Lifecycle States - Retired/Disposed)
ASM-14,Employee Asset Management,Company Admin,Record acknowledgement on behalf of non-user employees,"As a Company Admin, I want to capture asset receipt and return acknowledgements with condition assessments on behalf of Employee (Non-User) workforce members, so that assets issued to staff without system access are still fully documented.","Given an asset is issued to an Employee (Non-User) who cannot log in, when I record the acknowledgement on their behalf, then the digital acknowledgement and condition assessment are captured and linked to that employee and asset; Given I acknowledge on behalf of an employee, when the record is saved, then it is timestamped and identifies me as the recording admin as well as the employee; Given the non-user employee returns an asset, when I record the return acknowledgement with condition assessment, then the return condition is stored on the asset record; Given acknowledgements are captured on their behalf, when the pending-acknowledgements report is run, then those assets do not appear as outstanding.",High,FR 6.20.4 (Asset Acknowledgements - Non-User)
ASM-15,Employee Asset Management,Employee (User),View my allocated assets,"As an Employee (User), I want to view the assets currently allocated to me and their acknowledgement status, so that I know what I hold and what actions I still owe.","Given assets are issued or transferred to me, when I open my asset list, then I see each asset with its category, issue date, and current lifecycle state; Given an acknowledgement is pending for me, when I view the asset, then it is flagged as awaiting receipt or return acknowledgement with an action to complete it; Given an asset return is overdue, when I view my list, then the overdue status is indicated; Given I have no allocated assets, when I open my asset list, then an empty state is shown.",Medium,"FR 6.20.4, FR 6.20.6 (Employee self-service view)"
ASM-16,Employee Asset Management,Group Company Admin,Oversee asset inventory across companies in the group,"As a Group Company Admin, I want consolidated visibility of asset inventory, assignments, and outstanding items across the companies in my group, so that I can monitor asset usage and exceptions group-wide.","Given multiple companies exist in my group, when I run the inventory or assignment report, then I can view assets across all companies in my group with company as a filter/grouping dimension; Given outstanding items exist, when I run the pending acknowledgements or overdue returns reports, then I see exceptions aggregated across my group's companies; Given I have group-level scope, when I view any company's assets, then I see them read-consistently but operational transactions remain governed by each Company Admin's scope; Given I filter by a single company, when I apply it, then results are limited to that company.",Medium,FR 6.20.6 (Reporting - group oversight)
ASM-17,Employee Asset Management,Company Admin,Maintain effective-dated auditable asset history,"As a Company Admin, I want every asset transaction and state change to be persisted as an effective-dated, append-only history record, so that I can reconstruct an asset's exact status and holder as of any past date and trust the audit trail.","Given any asset transaction or state change occurs (register, issue, return, transfer, recovery, repair, retire, dispose), when it is recorded, then a history entry is stored capturing prior state, new state, acting actor, affected employee, and both the effective (business) date and the system-recorded (transaction) timestamp; Given a back-dated or corrected transaction is entered, when it is saved, then the correction is stored as a new version without overwriting or deleting prior history; Given I query an asset as-of a past date, when I view its history, then the state, holder, and category effective on that date are returned; Given history exists, when any record is viewed, then it is read-only and cannot be edited or removed.",High,FR 6.20.2 (L1 domain/data - bitemporal history)
ASM-18,Employee Asset Management,Platform Admin,Enforce asset identity uniqueness and tenant isolation,"As a Platform Admin, I want each asset to have a tenant-unique identifier and be stored under strict tenant-scoped isolation, so that inventories never collide across tenants and no tenant can read another tenant's assets.","Given an asset is registered, when it is saved, then its asset identifier (e.g. tag/serial) is validated as unique within the owning company/tenant and a duplicate is rejected with a clear message; Given assets belong to different tenants, when any query, report, or transaction runs, then only assets within the caller's tenant scope are returned or actionable (row-level tenant isolation enforced at the data layer); Given an employee-to-asset link is created, when it is persisted, then referential integrity guarantees the employee and asset belong to the same tenant; Given an attempt is made to reference an asset outside the caller's tenant, when it is submitted, then the operation is denied.",High,"FR 6.20.1, FR 6.20.3 (L1 data - uniqueness, RLS, integrity)"
ASM-19,Employee Asset Management,Company Admin,Configure the asset category taxonomy,"As a Company Admin, I want to govern the asset category taxonomy as versioned, effective-dated configuration, so that the categories the inventory engine uses can be tailored per tenant without code changes.","Given I manage asset configuration, when I define categories, then I can enable, rename, or extend the baseline set (IT Equipment, Mobile Devices, Network Equipment, Peripherals, Furniture, Security & Access, Software Licenses, Other Equipment) as governed config; Given I change the taxonomy, when I save, then the change is versioned and effective-dated and does not require a code deployment; Given categories are referenced by existing assets, when I attempt to remove or deactivate a category in use, then the system prevents orphaning and requires reassignment or deactivation-only; Given the taxonomy is published, when assets are registered or filtered, then the category picker and reports read the current effective configuration.",Medium,FR 6.20.1 (L2 config - category taxonomy)
ASM-20,Employee Asset Management,Company Admin,Configure the condition-assessment questionnaire,"As a Company Admin, I want to configure the condition-assessment questionnaire used at receipt and return as governed config, so that the fields captured on acknowledgement match our policy without custom development.","Given I manage asset configuration, when I define the condition-assessment template, then I can specify the fields, question types, and required/optional status captured during receipt and return acknowledgements; Given I version the questionnaire, when I save it, then it is effective-dated and previously captured assessments remain rendered against the version in effect when they were captured; Given the questionnaire is published, when an acknowledgement is created, then the Forms engine renders exactly the configured fields; Given I change the template, when the change is saved, then it takes effect for new acknowledgements without a code release.",Medium,FR 6.20.4 (L2 config - condition questionnaire/UDF)
ASM-21,Employee Asset Management,Company Admin,Configure acknowledgement rules and overdue-return thresholds,"As a Company Admin, I want to configure whether acknowledgement is required and the overdue-return thresholds as per-tenant governed config, so that the engines enforce our asset policy consistently.","Given I manage asset configuration, when I set acknowledgement requirements, then I can toggle whether receipt and/or return acknowledgement is mandatory per category or globally; Given I define overdue policy, when I configure it, then I can set the expected-return window and the number of days after which an asset is flagged overdue; Given these settings are versioned and effective-dated, when I change them, then the change applies to subsequent transactions without a code deployment; Given the config is published, when issue/return/overdue processing runs, then the engines read the current effective thresholds and acknowledgement flags.",Medium,"FR 6.20.4, FR 6.20.6 (L2 config - ack toggles, overdue thresholds)"
