story_id,module,role,title,user_story,acceptance_criteria,priority,source
ANN-01,Announcements,Company Admin,Publish an announcement,"As a Company Admin, I want to compose and publish organizational announcements targeted to a defined audience, so that relevant employees receive important messages through the system.","Given I am an authorized user, when I compose an announcement with a message body and one or more target audience filters and publish it, then the announcement becomes available to its targeted audience.; Given I am not an authorized user, when I attempt to publish an announcement, then the action is blocked and no announcement is created.; Given I attempt to publish, when no message content is provided, then the system prevents publishing and requires content.; Given I publish an announcement, when it goes live, then only employees whose attributes match every selected targeting dimension can view it.",High,FR 6.14.1
ANN-02,Announcements,Company Admin,Target announcements by company and jurisdiction,"As a Company Admin, I want to target announcements by company and jurisdiction, so that messages reach only the legal and organizational entities they apply to.","Given I am publishing an announcement, when I select one or more companies and/or jurisdictions as the audience, then only employees within those companies/jurisdictions can view it.; Given no company or jurisdiction is selected and no other targeting is provided, when I try to publish, then the system requires a valid target audience.; Given I select a jurisdiction, when an employee is outside that jurisdiction, then the announcement is not visible to that employee.",High,FR 6.14.1
ANN-03,Announcements,Company Admin,Target announcements by location and department,"As a Company Admin, I want to target announcements by location and department, so that site- or team-specific messages reach the right people.","Given I am publishing an announcement, when I select one or more locations and/or departments, then only employees in those locations/departments can view it.; Given I combine location and department filters, when the announcement is published, then only employees matching the combined criteria receive it.; Given an employee is in a targeted location but a non-targeted department, when department is a selected filter, then the announcement is not visible to that employee.",High,FR 6.14.1
ANN-04,Announcements,Company Admin,Target announcements by group and workforce type,"As a Company Admin, I want to target announcements by group and workforce type, so that messages relevant to specific employee cohorts (e.g. contractors vs. full-time) reach only those groups.","Given I am publishing an announcement, when I select one or more groups and/or workforce types, then only employees matching those attributes can view it.; Given a workforce type is selected, when an employee's workforce type does not match, then the announcement is not visible to that employee.; Given a group is selected, when an employee is not a member of that group, then the announcement is not visible to that employee.",Medium,FR 6.14.1
ANN-05,Announcements,Company Admin,Schedule an announcement for future publishing,"As a Company Admin, I want to schedule an announcement to be published at a future date and time, so that messages go live at the right moment without manual intervention.","Given I set a scheduled publish date/time, when the announcement is saved, then it remains hidden from the audience until that date/time is reached.; Given the scheduled time is reached, when the system processes the schedule, then the announcement becomes visible to its targeted audience automatically.; Given I set a scheduled publish date/time, when that time is in the past, then the system rejects or immediately publishes per configuration and warns me.; Given a scheduled announcement is pending, when I edit or cancel it before the scheduled time, then the change takes effect and it does not publish under the old settings.",Medium,FR 6.14.2
ANN-06,Announcements,Company Admin,Set an expiry for an announcement,"As a Company Admin, I want to set an expiry date/time on an announcement, so that outdated messages are automatically removed from view.","Given I set an expiry date/time, when that time passes, then the announcement is no longer visible to the targeted audience.; Given an announcement has not yet reached its expiry, when an employee views their announcements, then it remains visible.; Given I set both a scheduled publish and an expiry, when the expiry is earlier than the publish time, then the system rejects the invalid date range.; Given an announcement has no expiry set, when time passes, then it remains visible until manually removed.",Medium,FR 6.14.2
ANN-07,Announcements,Employee (User),View relevant announcements as an employee,"As an Employee (User), I want to view the announcements relevant to me, so that I stay informed about organizational messages that apply to my context.","Given I have system access, when I open the announcements view, then I see only the announcements targeted to my company, jurisdiction, location, department, group, and workforce type.; Given an announcement is not targeted to my attributes, when I view my announcements, then it does not appear.; Given an announcement is scheduled but not yet published, when I view my announcements, then it does not appear.; Given an announcement has expired, when I view my announcements, then it no longer appears.",High,FR 6.14.3
ANN-08,Announcements,Platform Admin,Restrict announcement visibility to users with system access,"As a Platform Admin, I want the platform to expose announcements only to employees who have system access, so that messages are delivered securely to authenticated recipients.","Given an employee without system access, when announcements are distributed, then that employee cannot view them in the system.; Given an employee with valid system access and matching targeting, when they authenticate, then the relevant announcements are available to them.; Given targeting and access rules, when they are evaluated, then visibility is granted only when both system access and attribute matching are satisfied.",Medium,FR 6.14.3
ANN-09,Announcements,Platform Admin,Publish platform-wide announcements across all companies,"As a Platform Admin, I want to publish announcements that span every company on the platform, so that global operational or policy messages reach all relevant employees regardless of company boundaries.","Given I am a Platform Admin, when I compose an announcement, then I can target audiences across all companies, jurisdictions, locations, departments, groups, and workforce types on the platform.; Given I publish a platform-wide announcement, when targeting spans multiple companies, then employees across those companies who match the criteria and have system access can view it.; Given a Company Admin, when they attempt to target companies outside their own scope, then the action is blocked.",Medium,FR 6.14.1
ANN-10,Announcements,Portfolio Admin,Publish announcements across a portfolio,"As a Portfolio Admin, I want to publish announcements scoped to the companies within my portfolio, so that portfolio-level communications reach the right organizations without leaking to unrelated companies.","Given I am a Portfolio Admin, when I compose an announcement, then I can target only companies, jurisdictions, locations, departments, groups, and workforce types within my portfolio.; Given I publish an announcement, when the target audience is within my portfolio, then matching employees with system access can view it.; Given I attempt to target an entity outside my portfolio, when I publish, then the system blocks that selection.",Medium,FR 6.14.1
