story_id,module,role,title,user_story,acceptance_criteria,priority,source
DM-01,Data Management,Company Admin,Import and export master data,"As a Company Admin, I want to import and export master data such as Company, Department, Location, Group, and Employee records, so that I can migrate and bulk-maintain organizational reference data instead of entering it manually.","Given I am on the Data Management screen, when I select a master data entity (Company, Department, Location, Group, or Employee), then I can choose to import or export records for that entity.; Given an export request for any master entity, when the export completes, then a downloadable file containing the current records for that entity is produced in the selected format.; Given an import file for a master entity, when I submit it, then records are created or updated for that entity subject to validation, sequencing, and rollback rules.; Given master data supports migration and bulk maintenance, when I use import/export, then all five master entities (Company, Department, Location, Group, Employee) are individually supported.; Given an import references a master that does not yet exist, when the import runs, then the dependency sequencing (Foundation → Organizational → Workforce → Transactional) determines whether the record can be processed.",High,FR 6.24.1 (Import/Export Scope — master data)
DM-02,Data Management,Company Admin,Import and export transactional data,"As a Company Admin, I want to import and export transactional data such as Leaves and Attendance, so that I can load historical operational data in bulk and exchange it with external systems.","Given I am on the Data Management screen, when I select a transactional data type (Leaves or Attendance), then I can import or export records for it.; Given an import file of Leave or Attendance records, when I submit it, then the transactional records are ingested subject to validation and rollback rules.; Given an export request for Leave or Attendance data, when it completes, then a downloadable file of those records is produced in the selected format.; Given transactional data depends on master data, when I import Leaves or Attendance, then the sequencing rule requires the referenced Workforce/Organizational masters to exist first; Given a transactional record references a missing employee or master, when validated, then it is reported as a record-level failure rather than silently ingested.",High,"FR 6.24.1 (Import/Export Scope — transactional data); FR 6.24.3"
DM-03,Data Management,Company Admin,Support multiple file formats,"As a Company Admin, I want to import and export data in CSV, XLS, XLSX, and JSON formats, so that I can work with the file type that best fits my source systems and tools.","Given I am importing or exporting data, when I select a format, then CSV, XLS, XLSX, and JSON are all available options.; Given a file in any of the four supported formats, when I submit it for import, then the file is accepted and parsed according to its format.; Given an export request, when I choose a format, then the output file is produced in that exact format (CSV, XLS, XLSX, or JSON).; Given a file in an unsupported format, when I submit it, then the system rejects the file with a clear message stating the supported formats.",Medium,FR 6.24.2 (File Formats)
DM-04,Data Management,Company Admin,Enforce file size and batch limits,"As a Company Admin, I want the system to enforce a 50 MB maximum file size and 10,000 records per batch, so that imports stay within safe processing limits and do not overload the platform.","Given an import file larger than 50 MB, when I submit it, then the system rejects it and informs me of the 50 MB maximum file size limit.; Given an import file containing more than 10,000 records, when I submit it, then the system rejects the batch and informs me of the 10,000-records-per-batch limit.; Given a file within both the 50 MB size and 10,000-record limits, when I submit it, then it is accepted for processing.; Given a dataset exceeding 10,000 records, when I need to load it, then I must split it into multiple batches each within the limit.",Medium,"FR 6.24.2 (File Formats — 50 MB / 10,000-record limits)"
DM-05,Data Management,Company Admin,Sequence imports by dependency,"As a Company Admin, I want imports to follow the correct dependency sequence — Foundation Masters, then Organizational Masters, then Workforce Masters, then Transactional Data — so that dependent records are only loaded after their prerequisites exist.","Given multiple data types to import, when I run the imports, then the system processes them in the order Foundation Masters → Organizational Masters → Workforce Masters → Transactional Data.; Given a transactional record that references a master not yet imported, when the sequence is enforced, then the prerequisite master is imported before the dependent transactional data.; Given an attempt to import data out of dependency order, when the sequence is enforced, then dependent records are not processed before their prerequisites and are reported accordingly.; Given the four defined tiers, when I review the import plan, then each entity is correctly classified into its tier (Foundation, Organizational, Workforce, or Transactional).",High,FR 6.24.3 (Import Sequencing)
DM-06,Data Management,Company Admin,Pre-import validation with staging mode,"As a Company Admin, I want to run pre-import validation in a sandbox/staging mode, so that I can verify my data is correct before it is committed to production.","Given an import file, when I choose staging/sandbox mode, then the file is validated without committing any changes to production data.; Given pre-import validation runs, when it completes, then I can review the full outcome (per-record success/failure) before deciding to proceed with the actual import.; Given validation errors are found in staging, when I review them, then I can correct the file and re-run validation before committing.; Given a file passes staging validation, when I promote it, then only the validated records are committed to production.; Given I skip staging, when I run a direct import, then pre-import validation is still applied before any commit.",High,FR 6.24.4 (Validation and Error Reporting — pre-import validation / staging mode)
DM-07,Data Management,Company Admin,Record-level error reporting,"As a Company Admin, I want detailed error reporting with record-level success and failure results, so that I can pinpoint and fix exactly which records failed.","Given an import has been validated or processed, when I view the results, then each record is marked individually as success or failure.; Given a failed record, when I inspect it, then the report shows the specific reason for the failure (e.g., validation rule, missing dependency, format error).; Given a completed report, when I review it, then I can clearly distinguish which records succeeded from those that failed and see counts of each.; Given a record-level error report, when I need to act on it, then I can export or download the report to correct the source data.",High,FR 6.24.4 (Validation and Error Reporting — record-level reporting)
DM-08,Data Management,Company Admin,Transactional rollback for failed imports,"As a Company Admin, I want failed imports to roll back transactionally with atomic transactions where feasible, so that a partial or failed import does not leave data in an inconsistent state.","Given an import fails, when rollback is applied, then all changes from the failed import are reverted.; Given an import processed as an atomic transaction, when any part fails, then no records from that transaction are committed.; Given a rollback has completed, when I review the data, then it reflects the exact state prior to the failed import.; Given atomic transactions are not feasible for a given import, when a failure occurs, then the system still rolls back to a consistent state and reports which records were committed.",High,FR 6.24.5 (Rollback — transactional rollback / atomic transactions)
DM-09,Data Management,Company Admin,Real-time import status tracking,"As a Company Admin, I want real-time status tracking for my imports, so that I always know whether a job is submitted, validating, running, completed, or failed.","Given I have submitted an import, when I view its status, then it shows one of Submitted, Validating, In-progress, Completed, Failed, or Partially completed.; Given an import is being processed, when its state changes, then the displayed status updates in real time without a manual refresh.; Given an import finishes with some records succeeding and others failing, when I view the status, then it shows Partially completed with the success/failure breakdown.; Given an import fails outright, when I view the status, then it shows Failed with a link to the error report.; Given each defined state, when tracked, then all six statuses (Submitted, Validating, In-progress, Completed, Failed, Partially completed) are represented.",Medium,FR 6.24.6 (Status Visibility)
DM-10,Data Management,Group Company Admin,Bulk import and export across group companies,"As a Group Company Admin, I want to import and export master and transactional data for the companies within my group, so that I can migrate and maintain data consistently across the group's entities in one place.","Given I administer a group of companies, when I open Data Management, then I can select which company (or companies) within my group the import/export applies to.; Given a bulk export request for the group, when it completes, then the output includes data scoped to the companies I administer within the selected format.; Given an import for a specific company in my group, when I submit it, then records are validated, sequenced, committed, and rolled back per the same rules and scoped only to that company.; Given I lack rights to a company outside my group, when I attempt import/export, then the system prevents access to that company's data.",High,"FR 6.24.1; FR 6.24.3; FR 6.24.4 (Import/Export Scope — group-level administration)"
