story_id,module,role,title,user_story,acceptance_criteria,priority,source
RSEC-01,Roles and Security,Platform Admin,Role-based access control across hierarchy levels,"As a Platform Admin, I want to define and assign roles scoped at the platform, portfolio, group-company, and company levels, so that access to data and system functions is controlled through a single consistent RBAC model.","Given the RBAC model, when I create a role, then I can scope it to exactly one of the platform, portfolio, group-company, or company levels; Given a defined role, when I assign it to a user, then the user gains only the permissions granted by that role at that scope level and nothing outside it; Given a role defined at a higher level (e.g. portfolio), when it is applied, then its permissions cascade only to the entities beneath that level in the hierarchy; Given a user without any role granting a specific function, when they attempt to access that function or data, then access is denied; Given RBAC governs both data and system functions, when a user acts, then permission is evaluated for the requested function and the requested data records together.",High,"FR 6.12.1 (RBAC with roles at platform, portfolio, group-company, and company levels)"
RSEC-02,Roles and Security,Portfolio Admin,Different roles per company for a single user,"As a Portfolio Admin, I want a single user to hold different roles in different companies, so that a person working across multiple companies has exactly the correct permissions in each company.","Given a multi-company user, when roles are assigned, then a distinct role can be set independently for each company the user belongs to; Given a user acting within a specific company, when they access functions, then only the permissions of their role in that company are applied and roles from other companies are not in effect; Given a user's role is changed in one company, when the change is saved, then their roles in other companies remain unaffected; Given a user has no role in a given company, when they attempt to access that company, then access is denied for that company.",High,FR 6.12.2 (users may have different roles in different companies)
RSEC-03,Roles and Security,Company Admin,"Access restrictions by company, group, department, and workforce type","As a Company Admin, I want security rules that restrict access based on company, group, department, and workforce type, so that users only see and act on data relevant to their authorized scope.","Given a security rule scoped by company, group, department, or workforce type, when a user queries data, then only records matching every dimension of their permitted scope are returned; Given a user outside a record's company, group, department, or workforce-type scope, when they attempt access, then the record is not visible and the action is denied; Given multiple scope dimensions are combined on a rule, when access is evaluated, then all dimensions must be satisfied simultaneously; Given workforce type is a scope dimension, when a rule restricts to a workforce type, then only records of that workforce type are exposed to the user.",High,"FR 6.12.2 (security rules supporting restrictions by company, group, department, and workforce type)"
RSEC-04,Roles and Security,Employee (User),Delegation of activities to another user,"As an Employee (User), I want to delegate my activities to another user within the same company, so that my work continues when I am unavailable.","Given I am a user, when I set up a delegation, then I can only select a delegate who belongs to the same company as me; Given an active delegation, when the delegate acts, then they can perform the delegated activities on my behalf within the scope I delegated; Given I attempt to delegate to a user in a different company, when I save, then the delegation is rejected; Given a delegation is created, when it takes effect, then the delegated actions are attributable to the delegate acting on my behalf; Given I no longer need the delegation, when I revoke it, then the delegate can no longer act on my behalf.",Medium,FR 6.12.3 (delegation of activities within the same company)
RSEC-05,Roles and Security,Company Admin,Delegated approvals visible to managers and hierarchy,"As a Company Admin, I want delegated approvals to be visible to me and to appropriate hierarchy members, so that oversight and accountability are maintained during delegation.","Given an activity is delegated, when an approval is performed by the delegate, then the approval is visible to managers and appropriate hierarchy members; Given a delegation is in effect, when I review the approval trail, then the delegate relationship (who delegated to whom) is clearly evident; Given a delegated approval, when it is displayed to the hierarchy, then it shows both the original owner and the acting delegate; Given hierarchy visibility rules, when a manager reviews approvals, then only delegations within their oversight scope are shown.",Medium,FR 6.12.3 (approvals visible to managers and appropriate hierarchy members)
RSEC-06,Roles and Security,Platform Admin,Impersonation / login-as-user for authorized support,"As a Platform Admin operating as an authorized support user, I want a ""login as user"" capability, so that I can troubleshoot and assist users by acting within their context.","Given I am an authorized support user, when I invoke ""login as user"", then I can operate within the target user's context and see what they see; Given I am not authorized for impersonation, when I attempt to log in as a user, then the action is denied; Given an impersonation session, when I act as the target user, then my actions are constrained to that user's permissions; Given an impersonation session, when I end it, then I return cleanly to my own authenticated context.",Medium,"FR 6.12.4 (impersonation / ""login as user"" for authorized support users)"
RSEC-07,Roles and Security,Platform Admin,Full audit logging of impersonation,"As a Platform Admin, I want every impersonation session to be fully audit-logged, so that all support actions taken on behalf of users are traceable and accountable.","Given a support user impersonates another user, when the session begins and actions are taken, then the impersonation start, end, and every action are recorded in the audit log; Given an audit review, when I inspect impersonation records, then I can identify who impersonated whom, when, and exactly what was done; Given actions performed during impersonation, when they are logged, then each is flagged as performed under impersonation rather than by the target user directly; Given audit records for impersonation, when accessed, then they cannot be altered or deleted by the impersonating user.",High,FR 6.12.4 (full audit logging of impersonation)
RSEC-08,Roles and Security,Company Admin,Configurable multi-factor authentication at company level,"As a Company Admin, I want to configure multi-factor authentication (MFA) at the company level, so that my company's sign-in security meets its own requirements.","Given company security settings, when I enable or disable MFA, then the setting applies to that company only and does not affect other companies; Given MFA is enabled for a company, when a user of that company signs in, then they are required to complete the additional authentication factor; Given MFA is disabled for a company, when a user of that company signs in, then no additional factor is required; Given MFA is configurable per company, when different companies set different values, then each company's MFA policy is enforced independently.",High,FR 6.12.5 (MFA configurable at company level)
RSEC-09,Roles and Security,Portfolio Admin,Secure and explicit company context switching,"As a Portfolio Admin managing multiple companies, I want company context switching to be secure and explicit, so that I always act within a clearly chosen company and cannot cross company boundaries accidentally.","Given I belong to multiple companies, when I switch company context, then the switch requires an explicit action confirming the target company; Given I switch context, when I act after the switch, then all data and functions reflect the selected company only; Given no context switch has occurred, when I act, then I remain in my current company context with no implicit switching; Given a context switch, when it completes, then the active company is clearly indicated to me at all times.",High,FR 6.12.6 (company context switching is secure and explicit)
RSEC-10,Roles and Security,Platform Admin,Company context switching limited to authorized companies and auditable,"As a Platform Admin, I want company context switching to be limited to authorized companies and fully auditable, so that access is contained and every switch is traceable.","Given a multi-company user, when they attempt to switch context, then only companies they are explicitly authorized for are selectable; Given a user attempts to switch to a company they are not authorized for, when they try, then the switch is denied; Given a company context switch occurs, when I review audit records, then the switch is logged with the user, timestamp, and the source and target companies involved; Given context switching audit records, when reviewed, then every switch across the platform is traceable.",High,FR 6.12.6 (context switching limited to authorized companies and auditable)
RSEC-11,Roles and Security,Group Company Admin,Role administration scoped to the group-company level,"As a Group Company Admin, I want to define and assign roles scoped to my group-company and its member companies, so that access within the group is governed consistently without exceeding my group boundary.","Given the RBAC hierarchy, when I administer roles, then I can create and assign roles at the group-company level and to companies within my group; Given a role I define at group level, when it is applied, then its permissions cascade only to companies that belong to my group; Given a company outside my group, when I attempt to assign roles to it, then the action is denied; Given a group-scoped role, when a user holds it, then they can only access data and functions of companies within that group.",High,"FR 6.12.1 (RBAC with roles at platform, portfolio, group-company, and company levels)"
RSEC-12,Roles and Security,Employee (User),Completing multi-factor authentication at sign-in,"As an Employee (User), I want to enroll in and complete multi-factor authentication when my company requires it, so that my account and my company's data stay secure.","Given my company has MFA enabled, when I sign in, then I am prompted to complete the additional authentication factor before access is granted; Given my company has MFA disabled, when I sign in, then I am not prompted for an additional factor; Given I fail or cancel the MFA challenge, when I attempt to proceed, then access is denied; Given MFA is enabled, when I first sign in, then I am able to enroll my authentication factor as required by the company configuration.",Medium,FR 6.12.5 (MFA configurable at company level)
RSEC-13,Roles and Security,Employee (Non-User),Non-user records governed by RBAC scope without system access,"As an Employee (Non-User), I want my records to be governed by the same RBAC scope rules while I have no system login, so that my data is only visible to authorized users and I am not exposed to functions I should not have.","Given I am a non-user employee, when access to my records is evaluated, then only users whose role and scope (company, group, department, workforce type) permit it can view or act on my data; Given I have no user account, when a login is attempted for me, then no system access is granted; Given my workforce type, when scope rules are applied, then my records are exposed only to users authorized for that workforce type; Given I am a non-user, when delegation, impersonation, or context switching are considered, then they do not apply to me because I have no interactive session.",Medium,"FR 6.12.1, FR 6.12.2 (RBAC and scope restrictions by company, group, department, and workforce type applied to non-user employees)"
